Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,CO2,2019,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2020,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2021,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2022,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2023,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2024,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2025,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2026,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2027,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2028,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2029,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2030,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2031,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2032,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2033,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2034,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2035,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2036,,,,,,,,,,,,,,,,0.0,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,CO2,2037,,,,,,,,,,,,,,,,0.0,,Scenario1_0
