Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_0,3554.562857142857,10.15,5000.0,731.8,1081.6,1081.6,0.097,2631.6246578947375,0.058,0.0,1
Scenario1_1,3489.9361563278,16.3286018445,5737.4359773192,579.0705568772,639.3736204075,639.3736204075,0.081,2631.6278103724653,0.0640173466,0.0,1
Scenario1_2,3521.979208391114,14.9476754978,5391.7683502802,954.9492956119,837.6326849782,837.6326849782,0.077,2631.620123030743,0.0493439996,0.0,1
Scenario1_3,3651.8101984982713,11.7493784531,6340.5544040597,469.0386169072,1012.0576291384,1012.0576291384,0.091,2631.6211143562955,0.0512362094,0.0,1
Scenario1_4,3472.6631117805423,9.2818042747,4231.9583945145,1077.9673890483,631.7604815242,631.7604815242,0.085,2631.6189647311257,0.047133075,4.874693488554849,0
Scenario1_5,3627.806596367557,15.7048300001,7320.694303495,479.2387232953,1344.3428489642,1344.3428489642,0.088,2631.630701395256,0.0695356366,0.0,1
Scenario1_6,3513.004418191957,7.8007323481,6931.1212489894,490.7143083781,1019.7368301375,1019.7368301375,0.119,2631.644911597375,0.0966596068,0.0,1
Scenario1_7,3598.643238066871,8.1069608971,7334.3203289179,996.9538045136,1670.1976394068,1670.1976394068,0.112,2631.6363145088726,0.0802497647,0.7459956410517768,0
Scenario1_8,3659.5198893746997,10.3797091618,7375.5613773561,715.3260777233,1005.9564236458,1005.9564236458,0.085,2631.621726908291,0.0524054287,0.0,1
Scenario1_9,3580.828246606314,8.1604362545,4737.6388082059,1008.1901288574,1600.6010014397,1600.6010014397,0.126,2631.639041523079,0.0854550005,0.920580399321877,0
Scenario1_10,3498.5684926591284,11.3620399381,5112.6176643927,1157.0849729999,637.7435101347,637.7435101347,0.136,2631.6411425792435,0.0894654279,0.2199834628026428,0
Scenario1_11,3491.870447652514,18.0736431164,4486.6747717374,937.4766836219,658.3891411332,658.3891411332,0.124,2631.6423185492977,0.0917100812,0.0,1
Scenario1_12,3542.2342327075,11.0346202664,4807.194435643,484.1652334415,1321.0205917979,1321.0205917979,0.123,2631.625475134829,0.0595599212,0.0,1
Scenario1_13,3538.0696896761715,8.2599108981,4960.3891726632,854.9514742629,670.9238464119,670.9238464119,0.076,2631.628596835744,0.0655185221,0.0,1
Scenario1_14,3490.5220892838856,15.3623879076,4319.6743709427,965.0192112912,1199.7235125744,1199.7235125744,0.077,2631.635598912619,0.0788838579,0.0689601147933646,0
Scenario1_15,3663.6416785232427,7.6733087869,4267.5833517768,466.9037758887,1413.6604773305,1413.6604773305,0.102,2631.63822907431,0.0839042248,0.0,1
Scenario1_16,3646.6116614989855,7.0798151654,4553.1381042105,420.6250780963,1437.6291123498,1437.6291123498,0.101,2631.6269837774307,0.062439569,0.0,1
Scenario1_17,3665.408478800314,9.6739931001,4614.3575692799,665.4521758794,1066.0237866475,1066.0237866475,0.123,2631.6259729838735,0.0605101992,0.0,1
Scenario1_18,3474.667784200171,8.2737025732,4764.576692667,1020.4189951593,1184.8379320962,1184.8379320962,0.122,2631.6595397411033,0.1245813302,0.3198815250425049,0
Scenario1_19,3561.1403032808144,17.0206700597,4303.0643585937,406.4571028769,703.5133410043,703.5133410043,0.075,2631.6206760232594,0.0503995336,0.0,1
Scenario1_20,3604.1324866823857,8.5699356094,6445.6676789805,881.6219461816,1531.4597922956,1531.4597922956,0.083,2631.6437218175124,0.0943885938,0.5138101620566288,0
Scenario1_21,3509.293360247243,17.9263086668,5864.0944028851,719.6873470435,728.4649941827,728.4649941827,0.088,2631.62961454482,0.0674610919,0.0,1
Scenario1_22,3516.740693920514,7.1928179819,4241.9328441261,604.4602354461,1450.5191256214,1450.5191256214,0.1,2631.6440080649927,0.0949349736,0.0,1
Scenario1_23,3511.234867976528,14.7700200383,5639.4256350001,461.0088122184,1379.9907489058,1379.9907489058,0.101,2631.6603747670365,0.1261752005,0.0,1
Scenario1_24,3657.836011436057,7.3886406134,6090.8476704814,601.4943863394,954.9609225302,954.9609225302,0.086,2631.6280462414193,0.0644675656,0.0,1
Scenario1_25,3530.458200573043,11.5205869018,7242.8474820413,852.8864517399,1335.8544114692,1335.8544114692,0.077,2631.641814683931,0.0907483194,0.1312987004294255,0
Scenario1_26,3568.1934216260283,9.1492435325,4809.5378223697,1024.8159162441,1545.4455516166,1545.4455516166,0.087,2631.618670664396,0.0465717701,6.430605134525206,0
Scenario1_27,3592.2657236992854,9.7839316602,5086.0562528117,423.0497473878,1263.5486803845,1263.5486803845,0.106,2631.6556195647186,0.1170986254,0.0,1
Scenario1_28,3495.7910428081855,11.5508492647,4012.2871858281,961.2222055109,1254.0978518494,1254.0978518494,0.132,2631.6172020589815,0.043768544,0.0,1
