Scen_fut,demand_2050_sum,capex_geo_2050_mean,capex_bess_2050_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_0,199.942,3554.562857142857,731.8,0.058,0.0,1
Scenario1_1,353.1167193531,3489.9361563278,579.0705568772,0.0640173466,0.0,1
Scenario1_2,212.32115098,3521.979208391114,954.9492956119,0.0493439996,0.0,1
Scenario1_3,201.6417955364,3651.8101984982713,469.0386169072,0.0512362094,0.0,1
Scenario1_4,331.3356958557,3472.6631117805423,1077.9673890483,0.047133075,4.874693488554849,0
Scenario1_5,252.7183469664,3627.806596367557,479.2387232953,0.0695356366,0.0,1
Scenario1_6,316.8214475871,3513.004418191957,490.7143083781,0.0966596068,0.0,1
Scenario1_7,314.1295580206,3598.643238066871,996.9538045136,0.0802497647,0.7459956410517768,0
Scenario1_8,250.30546107930002,3659.5198893746997,715.3260777233,0.0524054287,0.0,1
Scenario1_9,382.1726726905,3580.828246606314,1008.1901288574,0.0854550005,0.920580399321877,0
Scenario1_10,297.2656953143,3498.5684926591284,1157.0849729999,0.0894654279,0.2199834628026428,0
Scenario1_11,255.62972719860002,3491.870447652514,937.4766836219,0.0917100812,0.0,1
Scenario1_12,183.17583208419998,3542.2342327075,484.1652334415,0.0595599212,0.0,1
Scenario1_13,281.57848042719996,3538.0696896761715,854.9514742629,0.0655185221,0.0,1
Scenario1_14,383.6941896611,3490.5220892838856,965.0192112912,0.0788838579,0.0689601147933646,0
Scenario1_15,181.0583013426,3663.6416785232427,466.9037758887,0.0839042248,0.0,1
Scenario1_16,191.3745397372,3646.6116614989855,420.6250780963,0.062439569,0.0,1
Scenario1_17,263.2838138846,3665.408478800314,665.4521758794,0.0605101992,0.0,1
Scenario1_18,324.16073850180004,3474.667784200171,1020.4189951593,0.1245813302,0.3198815250425049,0
Scenario1_19,357.5430766658,3561.1403032808144,406.4571028769,0.0503995336,0.0,1
Scenario1_20,291.5865592187,3604.1324866823857,881.6219461816,0.0943885938,0.5138101620566288,0
Scenario1_21,345.1138967006,3509.293360247243,719.6873470435,0.0674610919,0.0,1
Scenario1_22,224.718241677,3516.740693920514,604.4602354461,0.0949349736,0.0,1
Scenario1_23,230.8309614886,3511.234867976528,461.0088122184,0.1261752005,0.0,1
Scenario1_24,209.01195074510002,3657.836011436057,601.4943863394,0.0644675656,0.0,1
Scenario1_25,288.45968693450004,3530.458200573043,852.8864517399,0.0907483194,0.1312987004294255,0
Scenario1_26,363.6764465659,3568.1934216260283,1024.8159162441,0.0465717701,6.430605134525206,0
Scenario1_27,343.5908948948,3592.2657236992854,423.0497473878,0.1170986254,0.0,1
Scenario1_28,227.7138268529,3495.7910428081855,961.2222055109,0.043768544,0.0,1
Scenario1_29,296.0232056753,3488.9646078227424,815.6908850348,0.0518164891,0.0,1
Scenario1_30,201.1310676117,3563.289325976457,1143.2206919154,0.0692047367,1.0623206395876132,0
Scenario1_31,250.8152447322,3674.9009876623427,1136.4166043154,0.0842711204,1.3428711641343245,0
Scenario1_32,285.5689540866,3527.1548554907,742.2353558269,0.0495924223,0.0,1
Scenario1_33,327.7993303628,3493.315578484114,1006.4385867589,0.1117463174,0.8084508767686962,0
Scenario1_34,346.41767116159997,3573.918616513614,713.5496306736,0.0669342671,0.0,1
Scenario1_35,200.7593709593,3494.602996426271,694.0439865693,0.0617540066,0.0,1
Scenario1_36,261.94127644820003,3602.6447468621423,508.3331610691,0.0535529501,0.0,1
Scenario1_37,328.7972275192,3518.1000679707286,783.5971866468,0.0785155294,0.0,1
Scenario1_38,212.16719219880002,3667.5664678315575,930.4399386838,0.1305951533,0.2180530637427623,0
Scenario1_39,317.33678803559997,3481.3768071761574,525.1684271122,0.0505824569,0.0,1
Scenario1_40,355.7301574939,3615.061943097843,800.6251888507,0.0776986914,0.0,1
Scenario1_41,290.7768482978,3525.1062343263716,470.0528583014,0.1101019239,0.0,1
Scenario1_42,349.0878385377,3505.986145231857,474.6304967187,0.1158147085,0.0,1
Scenario1_43,341.94221183959996,3654.7347774545997,757.6072998756,0.0697751132,0.0,1
