Scen_fut,demand_2050_sum,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_impngs_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_batt_2050,discount_rate_wnd_2050,discount_rate_sol_2050,maxcap_geo006_2050_mean,gas_cap_2050,no_gas_2050
Scenario1_0,115.0109,3554.562857142857,10.15,5000.0,20.0,600.0,1081.6,1666.059090909091,0.097,0.085,0.05500000000000001,0.082,1.26,0.0,1
Scenario1_1,270.6287982247,3582.2374850898145,13.7142141506,4633.449729551,23.3414774696,444.1119139387,1001.77589614415,1544.5590148443907,0.078,0.0596621944,0.038604949300000004,0.06977823495,3.6101188152,0.0,1
Scenario1_2,151.265850047,3475.1595774392995,11.3020644844,6159.8349550007,23.0573267994,613.685784629,1030.7824717815,1154.985468195618,0.049,0.0474372389,0.030694683999999993,0.0638814917,5.9741865664,0.0,1
Scenario1_3,260.72881695169997,3466.2100739363423,8.7140795507,4367.1853039334,21.348081482,710.0829359429,862.6878860321999,1299.9172814833726,0.142,0.0773249127,0.0500337671,0.0782978991,4.7131558104,0.0,1
Scenario1_4,224.6328211296,3493.1108739800284,7.6495967014,5612.3172130323,18.4320074878,447.6161324005,959.8994589363999,1972.7096026217093,0.134,0.098942207,0.0640214281,0.08872506455000001,2.8553602526,0.0,1
Scenario1_5,103.89114730040001,3571.6224993453716,10.068535735,3809.1199488098,25.1623640782,674.0190734802,798.2844898180499,1899.8720480581092,0.06,0.0789695796,0.0510979632,0.07909120894999999,3.4889356545,0.0,1
Scenario1_6,282.8222473995,3565.8634837571853,11.6784353723,6593.4935407912,18.6916570219,688.0697809125,827.5030137335,1814.1258116190002,0.144,0.0643305713,0.0416256638,0.07203004025000001,6.0813716989,0.0,1
Scenario1_7,213.24401201530003,3539.6852632855,6.2499538823,5422.6169161208,23.5565502257,608.7329839032,1125.9784100908,1174.2561901104,0.138,0.1025572094,0.06636054729999999,0.0904687716,5.3225746764,0.0,1
Scenario1_8,116.514732251,3565.353520628286,9.6222631195,6697.9232246828,24.9535243107,318.6374358265,1108.3368609568,1269.1038633161545,0.087,0.1078148869,0.06976257389999999,0.0930048278,5.1199327914,0.0,1
Scenario1_9,125.7018147961,3514.2620871134714,9.1272042964,5924.0326814304,20.8518485585,354.5674041965,919.7422547788,1025.478041368309,0.095,0.0541506751,0.0350386721,0.0671197374,3.9924685277,0.0,1
Scenario1_10,143.2578643524,3555.4207861780424,7.8104699479,6083.3781721522,20.0251907203,299.247532847,992.8383460773999,1366.5541917819546,0.089,0.0966475107,0.0625366246,0.08761821105,6.1806077714,0.0,1
Scenario1_11,185.9336636217,3509.3294386818284,7.9229200472,3848.8043289257,21.7549130576,640.244296757,1061.90121752095,1286.2002250088453,0.072,0.125484167,0.08119563750000001,0.10152765705,6.2476218098,1.7311226011337242,0
Scenario1_12,255.33519231399998,3586.8962752505286,14.364898872,5985.646531622,22.0423438339,581.2582784181,894.0401543350999,1225.2631541074818,0.143,0.094201228,0.06095373579999999,0.0864382394,5.2702895274,0.0,1
Scenario1_13,200.91100689949997,3462.5759614669428,7.4442219237,5685.6425639888,20.1080532039,456.7196466048,971.1393664352499,1317.5663786557182,0.07,0.0873964233,0.056550626900000005,0.08315592185000001,3.8275604347,0.0,1
