Scen_fut,gas_price_2050_median_nonzero,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_batt_2050,maxcap_geo006_2050_mean,discount_rate_solar_2050,discount_rate_wind_2050,discount_rate_impngs_2050,discount_rate_geo_2050,gas_cap_2050,no_gas_2050
Scenario1_0,10.0,800.0,1081.6,1666.059090909091,0.112,3.42,0.093,0.08999999999999998,0.125,0.134,0.0,0
Scenario1_1,20.2679540352,637.0584729286,977.4743381546,550.1221377345363,0.1152094524,7.9622908097,0.0956649918,0.09257902429999999,0.2250575983,0.0877495756,0.0,0
Scenario1_2,6.0276026041,182.071062425,295.3552853998,2075.6451705441636,0.060718712,6.6515209289,0.0504182162,0.0487918221,0.178867347,0.2152932366,0.0,0
Scenario1_3,19.5181183612,612.9028769468,1133.9643327691,792.8343410846545,0.1480337532,4.6673654869,0.1229208843,0.11895569450000001,0.0255073783,0.0622962353,4.896572661008019,1
Scenario1_4,9.2692094152,257.7905638258,894.112593065,1901.9720289829725,0.1748439682,9.0470635245,0.1451829379,0.14049961729999996,0.1330088638,0.1147233575,0.0,0
Scenario1_5,14.5230767593,1000.7554761485,1010.4616271286,1888.2956318746822,0.0914918458,9.0830628114,0.0759709076,0.0735202332,0.1537396288,0.2521304212,0.0,0
Scenario1_6,6.6462514425,997.5380562787,149.5309924363,529.913312965591,0.1818886462,5.5695519378,0.1510325366,0.14616051929999999,0.1132027092,0.2123341743,14.459482008226187,1
Scenario1_7,8.601806291,99.9749857392,121.5237943496,961.1000573860819,0.1382058952,8.8488342388,0.1147602523,0.11105830869999998,0.1116865338,0.1640288033,0.0,0
Scenario1_8,4.475324187,844.1118883296,759.6169737839,2009.7526010577637,0.1354438895,4.0283221319,0.1124668011,0.10883883969999998,0.1991567084,0.0523541756,0.0,0
Scenario1_9,13.3259541975,876.8029798,243.332767922,1542.8937464195362,0.1736998377,10.0783083784,0.1442329009,0.13958022669999998,0.0588042363,0.1042429874,2.9815721660019534,1
Scenario1_10,11.9527548503,825.3580236362,555.8535699376,1379.7413607374363,0.0518357022,5.5469086468,0.0430421456,0.041653689300000005,0.2201415075,0.07645196,0.0,0
Scenario1_11,14.2516697684,808.3785912632,442.1364665345,1667.0557701805453,0.0470117912,6.4618792828,0.0390365766,0.037777332200000006,0.1661398789,0.105851757,0.0,0
Scenario1_12,11.435542363,832.7802750551,312.5328752126,1162.6624146611543,0.0736199621,8.0685243774,0.0611308614,0.059158898099999996,0.1839793091,0.2183564047,0.0,0
