X_Num,X_Category,X_Plain_English_Description,Involved_Scenarios,X_Mathematical_Type,Explored_Parameter_of_X,Initial_Year_of_Uncertainty,Min_Value,Max_Value,Exact_Parameters_Involved_in_Osemosys,Involved_First_Sets_in_Osemosys,Involved_Second_Sets_in_Osemosys,Involved_Third_Sets_in_Osemosys,Manipulation_of_Parameter,
1,Fuel Costs,Changes in fossil fuel costs,Scenario1,Time_Series,Final_Value,2025,0.4,1.9,VariableCost,IMPBIO ; IMPCOA  ; IMPHFOMOM ; IMPHFONAI ; IMPLFOELD ; IMPNGS ; IMPURN; MINBIO ; MINCOA,1,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
2,Capital Cost,Capital cost for BIO,Scenario1,Time_Series,Final_Value,2025,0.9,1.1000000000000001,CapitalCost,PWRBIO001,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
3,Capital Cost,Capital cost for GEO,Scenario1,Time_Series,Final_Value,2025,0.7,1.1499999999999999,CapitalCost,PWRGEO006,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
4,Capital Cost,Capital cost for HYD,Scenario1,Time_Series,Final_Value,2025,0.9,1.2,CapitalCost,PWRHYD001 ; PWRHYD002 ; PWRHYD003 ; PWRHYD004 ; PWRHYD005,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
5,Capital Cost,Capital cost for NGS,Scenario1,Time_Series,Final_Value,2025,0.9,1.1000000000000001,CapitalCost,PWRNGS001,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
6,Capital Cost,Capital cost for PHS,Scenario1,Time_Series,Final_Value,2025,0.9,1.1000000000000001,CapitalCost,PWRPHS001 ; PWRPHS002,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
7,Capital Cost,Capital cost for SOL,Scenario1,Time_Series,Final_Value,2025,0.1,1.2,CapitalCost,PWRSOL001 ; PWRSOL002,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
8,Capital Cost,Capital cost for URN,Scenario1,Time_Series,Final_Value,2025,0.6,1.6,CapitalCost,PWRURN001,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
9,Capital Cost,Capital cost for WND,Scenario1,Time_Series,Final_Value,2025,0.3,1.3,CapitalCost,PWRWND001 ; PWRWND002 ; PWRWND003 ; PWRWND004 ; PWRWND005 ; PWRWND006 ; PWRWND007 ; PWRWND008 ; PWRWND009 ; PWRWND010 ; PWRWND011,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
10,Capital Cost,Capital cost for IMPNGS,Scenario1,Time_Series,Final_Value,2025,0.75,1.5,CapitalCost,IMPNGS,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
11,CapitalCost,Capital cost for BESS_TECH,Scenario1,Time_Series,Final_Value,2025,0.1,1.3,CapitalCost,BESS_TECH,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
12,Demand,Annual electricity demand,Scenario1,Time_Series,Final_Value,2025,0.8,2.8,SpecifiedAnnualDemand,COMELC ; INDELC ; RESELC,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
13,Capacity,Total annual max capacity for PWRGEO,Scenario1,Time_Series,Final_Value,2025,1,2.2999999999999998,TotalAnnualMaxCapacity,PWRGEO006,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
14,Discount rate,Global discount rate,Scenario1,Constant,Final_Value,2025,0.5,1.5,DiscountRate,,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
15,Hurdle rates,Changes in hurdle rates,Scenario1,Time_Series,Final_Value,2025,0.5,3,DiscountRateIdv,BESS_TECH ; IMPNGS ; PWRBIO001 ; PWRCOA001 ; PWRDIST ; PWRGEO001 ; PWRGEO002 ; PWRGEO003 ; PWRGEO004 ; PWRGEO005 ; PWRGEO006 ; PWRGEO007 ; PWRHFO001 ; PWRHYD001 ; PWRHYD002 ; PWRHYD003 ; PWRHYD004 ; PWRHYD005 ; PWRLFO001 ; PWRNGS001 ; PWRPHS001 ; PWRPHS002 ; PWRSOL001 ; PWRSOL002 ; PWRTRN ; PWRURN001 ; PWRWND001 ; PWRWND002 ; PWRWND003 ; PWRWND004 ; PWRWND005 ; PWRWND006 ; PWRWND007 ; PWRWND008 ; PWRWND009 ; PWRWND010 ; PWRWND011,,,1) Multiply final value of time series by the Explored Parameter in each future and then interpolate. 2) Assign the modified parameter back.,
