Parameter,Select
AccumulatedNewCapacity,
AnnualFixedOperatingCost,X
AnnualTechnologyEmission,X
AnnualTechnologyEmissionByMode,
AnnualVariableOperatingCost,X
CapitalInvestment,X
Demand,
DiscountedSalvageValue,
InputToNewCapacity,
InputToTotalCapacity,
NewCapacity,X
NumberOfNewTechnologyUnits,
ProductionByTechnology,
RateOfActivity,
RateOfTotalActivity,
SalvageValue,
TotalAnnualTechnologyActivityByMode,
TotalCapacityAnnual,X
TotalTechnologyAnnualActivity,X
TotalTechnologyModelPeriodActivity,
Trade,
EmissionByActivityChange,
TechnologyEmissionsPenalty,
NewStorageCapacity,
SalvageValueStorage,
StorageLevelYearStart,
StorageLevelYearFinish,
StorageLevelSeasonStart,
StorageLevelDayTypeStart,
StorageLevelDayTypeFinish,
RateOfNetStorageActivity,
NetChargeWithinYear,
NetChargeWithinDay,
StorageLowerLimit,
StorageUpperLimit,
AccumulatedNewStorageCapacity,
CapitalInvestmentStorage,X
DiscountedCapitalInvestmentStorage,
DiscountedSalvageValueStorage,
TotalDiscountedStorageCost,
