Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,NewCapacity,TotalCapacityAnnual,AnnualTechnologyEmission,AnnualVariableOperatingCost,TotalTechnologyAnnualActivity,CapitalInvestmentStorage,CapitalInvestment,AnnualFixedOperatingCost
Scenario1,0,RE1,,BACKSTOP,,2019,,,,,,,,,,0.2720575216660607,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2020,,,,,,,,,,0.3150523019568896,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2021,,,,,,,,,,0.41580502960598603,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,0.21684239142084216,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,0.2543346621471697,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,0.29937767940794985,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,0.0633167517518046,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2031,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2032,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2033,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2034,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2035,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2036,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2037,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2038,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BACKSTOP,,2050,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2023,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2024,,,,,,,,,,0.1,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2025,,,,,,,,,,0.15,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2026,,,,,,,,,,0.10009008211689135,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2027,,,,,,,,,,0.28095309599833573,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2028,,,,,,,,,,0.23902864560579853,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2029,,,,,,,,,,0.40922844597638364,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2030,,,,,,,,,,0.35004303103225864,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2031,,,,,,,,,,0.43011073381332277,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2032,,,,,,,,,,0.2878366636634455,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2033,,,,,,,,,,0.2827267311266488,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2034,,,,,,,,,,0.00274127255144313,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2035,,,,,,,,,,0.32768849708723063,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2036,,,,,,,,,,0.26351619556109035,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2037,,,,,,,,,,0.46135489368811217,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2038,,,,,,,,,,0.29720442953099085,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2039,,,,,,,,,,0.6415636473707571,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2040,,,,,,,,,,0.5460972007738103,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2041,,,,,,,,,,0.725319882516565,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2042,,,,,,,,,,0.5155731144337108,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2043,,,,,,,,,,0.5270741545519972,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2044,,,,,,,,,,0.26029414804375284,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2045,,,,,,,,,,0.3845681294212935,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2046,,,,,,,,,,0.5359593990106482,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2047,,,,,,,,,,0.773557289166324,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2048,,,,,,,,,,0.6275590167155671,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2049,,,,,,,,,,0.991205519872794,,,,,,,
Scenario1,0,RE1,,BESS_TECH,,2050,,,,,,,,,,0.9235066093825057,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2023,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2025,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2031,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2032,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2033,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2034,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2035,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2036,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2037,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2038,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2039,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2040,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2041,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,IMPNGS,,2050,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2023,,,,,,,,,,0.0014,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2025,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2026,,,,,,,,,,0.01,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2028,,,,,,,,,,0.008000000000000002,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2030,,,,,,,,,,0.04819999999999999,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2031,,,,,,,,,,0.020000000000000004,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2032,,,,,,,,,,0.010800000000000004,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2033,,,,,,,,,,0.0030000000000000027,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2034,,,,,,,,,,0.0059999999999999915,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2035,,,,,,,,,,0.0003000000000000086,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2036,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2037,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2038,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2039,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2040,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2041,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRBIO001,,2050,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2023,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2025,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2031,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2032,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2033,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2034,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2035,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2036,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2037,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2038,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2039,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2040,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2041,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRCOA001,,2050,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2019,,,,,,,,,,0.30379101218060267,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2020,,,,,,,,,,0.032903045460965785,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2021,,,,,,,,,,0.08475684741529999,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2022,,,,,,,,,,0.06454169624967343,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2023,,,,,,,,,,0.06048181614144443,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2024,,,,,,,,,,0.07043868024932953,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2025,,,,,,,,,,0.076778902703865,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2026,,,,,,,,,,0.08043920055119091,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2027,,,,,,,,,,0.1330017013792042,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2028,,,,,,,,,,0.14078204463190502,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2029,,,,,,,,,,0.16101593325260488,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2030,,,,,,,,,,0.17279431089127462,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2031,,,,,,,,,,0.16138458077949558,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2032,,,,,,,,,,0.17913482747627096,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2033,,,,,,,,,,0.18160480739745077,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2034,,,,,,,,,,0.19324208072651983,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2035,,,,,,,,,,0.20333915560452764,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2036,,,,,,,,,,0.2062065729947813,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2037,,,,,,,,,,0.2320987826726424,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2038,,,,,,,,,,0.24185128768403397,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2039,,,,,,,,,,0.2557444172020471,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2040,,,,,,,,,,0.27129844634684686,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2041,,,,,,,,,,0.2859260820200209,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2042,,,,,,,,,,0.2960798868244656,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2043,,,,,,,,,,0.31585812513372113,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2044,,,,,,,,,,0.33278576312627894,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2045,,,,,,,,,,0.35201863643668796,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2046,,,,,,,,,,0.3716428264401901,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2047,,,,,,,,,,0.39157735165975005,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2048,,,,,,,,,,0.41420112642980333,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2049,,,,,,,,,,0.4372978782178394,,,,,,,
Scenario1,0,RE1,,PWRDIST,,2050,,,,,,,,,,0.460750697632609,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2022,,,,,,,,,,0.0832999999999999,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2023,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2025,,,,,,,,,,0.06200000000000011,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2031,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2032,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2033,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2034,,,,,,,,,,0.0065777688057918095,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2035,,,,,,,,,,0.16159018382385335,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2036,,,,,,,,,,0.21020286760708193,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2037,,,,,,,,,,0.16301411952242031,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2038,,,,,,,,,,0.0636150602408525,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2039,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2040,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2041,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2050,,,,,,,,,,0.04200000000000015,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2023,,,,,,,,,,0.035,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2025,,,,,,,,,,0.035,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2031,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2032,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2033,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2034,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2035,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2036,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2037,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2038,,,,,,,,,,0.13499999999999998,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2039,,,,,,,,,,0.060000000000000026,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2040,,,,,,,,,,0.17750507664325416,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2041,,,,,,,,,,0.022494923356745827,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2042,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2043,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2044,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2045,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2046,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2047,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2048,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2049,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2050,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2019,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2020,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2021,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2022,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2023,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2024,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2025,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2026,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2027,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2028,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2029,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2030,,,,,,,,,,0.0,,,,,,,
Scenario1,0,RE1,,PWRGEO003,,2031,,,,,,,,,,0.0,,,,,,,
