Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,CapitalInvestment,TotalTechnologyAnnualActivity,TotalCapacityAnnual,CapitalInvestmentStorage,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,NewCapacity,Scen_fut
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2020,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2020,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2020,,,,,,,,,,,,,,363.72878,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2020,,,,,,,,,,,9.326379,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2021,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2021,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2021,,,,,,,,,,,,,,295.64413,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2021,,,,,,,,,,,7.5806187,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2022,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2022,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2023,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2023,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2024,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2024,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2025,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2025,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2026,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2026,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2027,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2027,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2028,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2028,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2029,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2029,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2030,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2030,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2031,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2031,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2032,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2032,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2033,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2033,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2034,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2034,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2034,,,,,,,,,,,,,,1091.0167,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2034,,,,,,,,,,,27.974787,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2035,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2035,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2035,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2035,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2036,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2036,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2036,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2036,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2037,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2037,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2037,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2037,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2038,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2038,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2038,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2038,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2039,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2039,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2039,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2039,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2040,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2040,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2040,,,,,,,,,,,,,,1114.121,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2040,,,,,,,,,,,28.567204,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2041,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2041,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2041,,,,,,,,,,,,,,1121.3779,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2041,,,,,,,,,,,28.753278,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2042,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2042,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2042,,,,,,,,,,,,,,1199.7981,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2042,,,,,,,,,,,30.764054,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2043,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2043,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2043,,,,,,,,,,,,,,1384.8564,,,,Scenario1_0
